Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-12-19 00:00:00+05:30,33.519641179843276,33.519641179843276,32.66016320087294,32.7031364440918,82546,0.0,0.0
2012-12-20 00:00:00+05:30,33.734517441277994,34.07831001328563,32.35935371054535,33.34775161743164,19619,0.0,0.0
2012-12-21 00:00:00+05:30,33.089907677345025,33.26180395737269,32.66016861660029,32.875038146972656,21531,0.0,0.0
2012-12-24 00:00:00+05:30,31.88663810437261,33.47667465159674,31.88663810437261,33.34775161743164,72714,0.0,0.0
2012-12-26 00:00:00+05:30,30.683374592395488,33.30478263433592,30.55445154170605,32.74612045288086,53735,0.0,0.0
2012-12-27 00:00:00+05:30,33.26179815522844,33.26179815522844,32.316370419319874,32.44529342651367,44734,0.0,0.0
2012-12-28 00:00:00+05:30,32.101506968446216,32.8750385999035,32.101506968446216,32.574222564697266,19573,0.0,0.0
2012-12-31 00:00:00+05:30,32.35935109434956,33.08990615249053,32.35935109434956,33.00395965576172,30753,0.0,0.0
2013-01-01 00:00:00+05:30,33.734513640721914,33.734513640721914,32.31637353927035,32.4882698059082,109470,0.0,0.0
2013-01-02 00:00:00+05:30,32.70313739597591,33.08990315349973,32.57421766256689,32.918006896972656,49852,0.0,0.0
2013-01-03 00:00:00+05:30,33.21882942465407,33.777488214866565,32.402324585029504,33.261802673339844,41303,0.0,0.0
2013-01-04 00:00:00+05:30,33.47667112294761,35.668339522196206,33.175851834486906,34.76588821411133,336857,0.0,0.0
2013-01-07 00:00:00+05:30,34.37911585441579,35.324540228953026,34.164246380325686,34.980751037597656,117698,0.0,0.0
2013-01-08 00:00:00+05:30,34.80886135182602,35.15265388651337,34.12127956109992,34.46506881713867,59322,0.0,0.0
2013-01-09 00:00:00+05:30,34.63696330173172,35.32454505706826,34.29317406338766,34.33614730834961,135409,0.0,0.0
2013-01-10 00:00:00+05:30,34.29318634735437,35.32455771047663,34.16426328763929,34.25020980834961,230357,0.0,0.0
2013-01-11 00:00:00+05:30,33.648570245152946,34.85183766511995,32.14448351120752,33.390724182128906,100826,0.0,0.0
2013-01-14 00:00:00+05:30,35.02373562320676,39.45004953489987,33.17585623592151,33.5626220703125,150836,0.0,0.0
2013-01-15 00:00:00+05:30,33.94937940813823,33.94937940813823,30.94120654918927,31.456892013549805,391245,0.0,0.0
2013-01-16 00:00:00+05:30,30.081732473065774,34.035330286637816,30.081732473065774,33.30477523803711,3772060,0.0,0.0
2013-01-17 00:00:00+05:30,33.34775161743164,33.90641372728181,32.660169752065315,33.34775161743164,958194,0.0,0.0
2013-01-18 00:00:00+05:30,33.519650887549595,33.519650887549595,33.17585828493554,33.4337043762207,923406,0.0,0.0
2013-01-21 00:00:00+05:30,32.660169079957825,33.60559371554968,32.660169079957825,33.390724182128906,857510,0.0,0.0
2013-01-22 00:00:00+05:30,33.43370047641191,33.51964697771573,33.08990791389886,33.13288116455078,231358,0.0,0.0
2013-01-23 00:00:00+05:30,33.175851278333596,33.2618010501595,33.0039582919789,33.08990478515625,301452,0.0,0.0
2013-01-24 00:00:00+05:30,33.17584964243908,33.17584964243908,32.918006896972656,32.918006896972656,64935,0.0,0.0
2013-01-25 00:00:00+05:30,32.87504175309209,32.918015008150604,32.574225689033284,32.6171989440918,209939,0.0,0.0
2013-01-28 00:00:00+05:30,32.660164288315315,32.660164288315315,32.316371773821054,32.35934829711914,53652,0.0,0.0
2013-01-29 00:00:00+05:30,32.35934349958167,32.35934349958167,32.01555103605746,32.144474029541016,213794,0.0,0.0
2013-01-30 00:00:00+05:30,32.05853295429088,32.35935226098438,32.01555970437718,32.316375732421875,94870,0.0,0.0
2013-01-31 00:00:00+05:30,32.316375732421875,32.445298760811774,32.273402482508175,32.316375732421875,45448,0.0,0.0
2013-02-01 00:00:00+05:30,31.97258645446348,32.61719503911537,31.97258645446348,32.316375732421875,309660,0.0,0.0
2013-02-04 00:00:00+05:30,32.40232154176882,32.53124127571787,32.230425284521694,32.35934829711914,225130,0.0,0.0
2013-02-05 00:00:00+05:30,32.44529342651367,32.531239912210694,32.27339717647136,32.44529342651367,44259,0.0,0.0
2013-02-06 00:00:00+05:30,32.35934694081665,32.66016291940449,32.35934694081665,32.44529342651367,43795,0.0,0.0
2013-02-07 00:00:00+05:30,32.57421643370747,32.57421643370747,32.40232018366516,32.44529342651367,109131,0.0,0.0
2013-02-08 00:00:00+05:30,32.40232331191357,32.57421957855142,32.05853077863786,32.4882698059082,212514,0.0,0.0
2013-02-11 00:00:00+05:30,32.574216714435224,32.87503269561552,32.44529370613036,32.7031364440918,72888,0.0,0.0
2013-02-12 00:00:00+05:30,32.74612045288086,32.918016760916984,32.660173938187484,32.74612045288086,269289,0.0,0.0
2013-02-13 00:00:00+05:30,32.96098488329426,33.261804195155385,32.746115351385825,33.13288116455078,433501,0.0,0.0
2013-02-14 00:00:00+05:30,33.21882874243067,33.34774848584033,33.04693247256913,33.30477523803711,289611,0.0,0.0
